status	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99	feature100
Control	 17.66	 23.889	 50.50	 28.6001	 49.05	 91.59089	 23.15	  8.930	  0.847	 56.77	 44.075	 81.388	 87.84	 16.38	 64.615	 59.1115	  0.227	 75.282	 44.97	 75.78	 93.521	 60.741	 70.142	 37.0735	 36.35	 23.2	 84.962	 66.05	 39.31	 39.73	 83.02	 32.14	 26.049	 43.94	 55.13	 61.04	 72.57	 50.80	 24.85	 70.287	 73.39	 71.91	 15.880	  0.01	 88.046	 10.30	 70.20	 33.92	 43.95	 26.98	 69.71	 84.79	  4.18	 96.50	  6.79	 45.83	 40.69	 65.33	 20.49	 25.96	 26.373	 97.27	  2.29	  6.775	 17.866	 20.3263	 58.67	 15.60	 35.69	 90.26	 76.172	 76.36	 73.48	 61.875	 50.911	 88.790	 98.82	 58.94	  8.663	 20.32	  9.07	  1.4459	  3.03	 99.9575	 88.30	 28.377	 85.35	 74.42	 51.56	  1.725	  3.879	 57.250	 82.56	 31.87	 66.610	 12.063	 33.498	 77.418	 50.55	 88.22
Case	 68.70	 76.051	 53.40	 10.0054	 31.84	  9.52326	 77.28	 43.239	 88.337	 11.35	 90.718	 37.625	 89.06	 47.41	 50.909	 15.7220	 83.469	  9.225	 79.10	  0.19	  5.818	 47.368	 39.047	 67.1690	 95.85	 55.1	 50.275	 61.62	 30.10	 54.40	 65.19	 61.21	 22.505	 74.88	 65.93	 52.37	 42.38	 66.66	 15.35	  7.759	 72.55	 93.47	 65.041	 82.03	 30.805	 66.61	 16.22	 90.51	 12.63	 64.09	 17.10	  9.55	 61.76	 49.42	 30.67	 68.00	 91.77	 39.21	 28.13	 85.93	 75.917	 81.96	 65.63	 82.970	 34.666	 22.4614	 35.03	 87.50	 92.56	 60.87	 14.180	 58.57	 93.79	 94.078	 65.479	 94.345	 16.59	 36.27	 12.466	 50.40	 19.85	 48.4983	 96.68	 87.0791	  4.39	 57.266	 18.15	 55.30	 72.50	 84.267	 58.617	 92.195	 99.67	 34.41	 19.355	 97.484	 54.154	 23.695	 19.38	 28.04
Case	 38.41	 18.082	 55.72	 95.4069	 55.92	 29.53728	  9.63	 54.496	 30.105	 59.59	 85.104	 38.081	 56.63	 85.12	 70.663	 66.1382	 83.008	 30.731	 92.42	 74.28	 61.862	 85.814	 31.477	 67.2982	 58.89	  0.9	 73.832	 81.73	 63.15	 87.96	  1.41	 77.26	 34.239	  4.68	 34.54	  5.17	  0.22	 39.68	 33.47	 23.490	 29.08	 25.54	 26.316	 14.80	 45.955	  6.00	 59.93	 51.44	 66.59	  7.76	 25.45	 98.53	 51.37	 51.38	 32.09	 88.08	 48.45	 56.96	 23.94	 34.43	 48.779	 46.69	 80.06	 63.340	 93.631	 91.4636	 40.48	 44.38	 25.98	 78.58	 76.691	 17.15	 76.20	 77.550	 74.955	 86.101	  0.47	 66.11	 96.503	 83.93	 54.55	 69.7259	 92.99	 91.2740	 96.64	 74.203	 76.29	 18.10	 46.40	 56.327	 39.951	 81.872	 93.29	  3.48	 44.956	 59.671	 31.970	 44.463	 63.69	 39.85
Case	 76.98	 40.528	 86.79	 41.5607	 26.26	 76.99317	 45.34	 13.822	 49.274	 35.80	 73.399	 26.492	 59.35	 85.75	 86.231	 52.5341	 95.697	 99.208	 22.82	 19.24	 17.492	 43.535	 84.595	 32.0431	 69.54	 82.0	 87.645	 50.82	 17.62	 22.34	 82.10	 26.62	 78.189	 19.79	 28.70	  7.57	 91.36	 50.32	 26.68	 95.950	  5.71	 46.23	 47.592	 43.53	 43.072	 76.45	 50.60	 59.47	 98.58	 27.73	  1.81	 70.79	 16.07	 12.09	 46.05	 60.28	 19.00	 69.02	 12.52	 62.70	 69.632	 11.47	 55.27	 37.497	 10.594	 89.0231	 72.85	 65.99	 18.30	 34.28	 84.214	 90.49	 99.69	  5.003	 75.418	 30.874	 44.76	 28.82	 15.564	 41.23	 41.18	 17.0981	 34.27	  2.9249	 43.09	 33.540	 24.96	  2.06	  1.14	 81.975	 37.590	 46.367	 83.95	 78.76	 14.121	 60.837	 14.861	 37.190	 68.78	 76.26
Case	 49.77	 85.355	 82.97	 45.5102	 20.19	 25.58935	  8.47	 92.781	 50.063	 42.88	 57.369	 43.933	 36.45	 73.97	 84.179	 24.0202	 94.850	 11.898	 90.50	 45.21	  3.768	  8.227	 13.928	 90.4150	 14.75	 31.2	 78.630	 32.29	 82.74	 92.09	 11.51	 74.88	 84.325	 81.18	 65.37	 41.41	 80.02	 31.10	 98.26	 79.510	 79.76	 94.00	 66.904	 18.11	 41.058	 65.94	 90.20	 90.79	  1.69	 67.61	 53.41	 56.30	 78.06	  5.72	 76.52	 47.61	 54.93	 23.43	 62.38	 69.54	 39.617	 85.18	 48.68	 15.865	 33.723	 27.9541	 34.67	 77.55	 26.41	 84.46	 77.675	 87.70	 91.51	 61.730	  5.131	 56.774	 36.47	 72.86	 55.623	 19.19	  9.89	 14.3781	  7.06	 21.0416	  7.96	 71.557	 47.76	 33.06	 85.54	 31.377	 98.760	 38.273	 34.29	  9.78	 70.713	 68.308	 33.095	 89.376	 64.02	 66.90
Control	 71.76	 97.640	 11.14	 97.1056	 38.75	 51.78957	 56.07	  0.130	 40.203	  5.19	 48.177	 45.761	 35.74	 35.31	 44.744	 84.7312	 60.073	 52.544	 39.75	 32.21	 52.531	 42.079	 51.812	 19.8116	 53.97	 48.4	 98.360	 37.78	 66.25	 25.15	 10.12	 79.94	 77.475	 85.70	 88.32	 57.78	 80.40	 81.21	 79.87	 38.657	 84.15	 97.82	 24.630	  5.46	 96.478	 95.54	 40.05	 66.01	 65.45	 83.54	 13.28	 15.55	 93.01	 96.20	 62.00	 75.27	 15.18	 97.04	 78.72	 18.25	 91.527	 53.86	  4.91	 92.717	 25.716	 42.9379	 95.28	 81.24	 12.16	  4.49	 13.383	 27.62	 93.96	 19.818	  9.665	 32.638	 55.81	 22.57	 16.005	 31.44	  8.19	 25.4319	 71.97	  9.2114	 86.20	 61.007	 84.35	 10.25	 24.05	 28.556	 25.390	 13.997	 81.27	 88.21	 83.999	 58.559	 57.756	 28.426	 35.79	 20.46
Case	 99.19	 22.583	 70.37	 58.3988	 88.79	 67.78499	  0.87	 26.446	 97.708	 26.42	 33.061	 54.071	 59.15	 67.34	 96.467	 68.8515	 26.181	  4.127	 56.77	 10.91	 28.218	 17.491	 59.355	  4.4203	 72.82	 39.2	  9.069	 66.94	 36.21	 83.05	 47.39	 41.95	 38.719	  1.56	 81.18	 11.03	 14.09	  7.80	 59.61	 97.627	  8.91	 11.75	 21.057	 43.37	 14.185	 13.49	  3.09	 80.29	 20.60	 36.46	 24.33	 39.56	 42.99	  4.99	 90.58	 77.36	  7.25	 59.20	 57.47	 45.24	 11.837	 68.15	 94.29	 95.039	 20.979	 27.4047	 32.15	 50.83	 62.90	 19.39	 80.594	 53.51	 92.34	 24.251	 68.103	 27.265	 70.34	 61.69	 59.919	 15.32	 13.50	 29.0990	 52.76	 37.0400	 98.43	 49.056	 68.53	 59.29	 11.10	 49.231	 69.328	 20.488	 38.88	 39.77	 66.549	 77.111	 39.089	 26.929	 10.26	 35.75
Case	 38.00	 44.481	 89.75	 96.2205	 55.49	 14.72278	 98.57	 27.653	 35.833	 39.88	 15.766	 66.568	 86.55	 85.16	 14.119	 71.6726	 64.303	 93.889	 42.74	 28.93	 49.905	 61.813	 94.246	 50.0922	 47.69	 66.3	 59.400	 96.72	 86.67	 60.82	 23.24	 62.22	 13.577	 49.70	 63.65	 51.07	 58.55	 34.10	 83.19	  9.529	 98.57	 47.50	  2.832	 20.18	 40.901	 59.75	  7.14	 34.56	 47.37	  7.41	 63.76	 78.23	 78.50	 78.48	 57.86	 49.71	 82.93	 80.28	 65.67	 66.99	 37.560	 16.19	 66.41	 88.610	 12.085	 51.2475	  6.21	 79.75	  5.81	 65.34	 89.678	 29.40	 67.78	  6.087	 62.377	 50.521	 92.52	  3.99	 53.661	 52.86	 36.40	 99.6304	 75.04	  8.3467	  1.69	 83.546	 29.12	 74.78	 10.34	 99.165	 48.380	 39.599	 81.60	  0.52	 40.903	 49.712	 27.392	 71.987	  9.78	 35.95
Case	 77.74	  7.498	 27.97	 76.1702	 84.22	 70.05260	 31.66	 52.111	 49.166	 83.61	 48.013	 11.270	 68.05	 59.54	 77.671	  7.6156	 52.623	  6.717	 83.82	 81.95	 63.383	 37.156	 62.802	 13.8783	 72.94	 74.1	  4.607	 45.90	 36.26	 43.14	 10.77	 90.76	 90.036	 49.32	 46.42	 16.91	 81.50	 77.75	 26.22	 58.190	 10.58	 56.03	 11.411	 29.80	 23.789	 54.21	 46.83	 50.74	 45.93	 16.89	  8.62	 75.53	 52.30	  4.79	 33.94	 15.58	 72.89	 16.48	 83.30	 30.73	 39.109	  0.99	 58.37	 96.764	 53.058	 35.5274	 63.32	 57.42	 79.10	 38.38	 92.698	 44.75	  1.23	 20.002	 67.678	 82.475	  0.87	 31.92	 81.910	 92.52	 11.17	  0.6583	 80.68	 45.1888	 91.96	 19.847	 23.14	 76.28	 67.60	 25.616	 47.361	 87.521	  8.20	 17.41	  7.430	 75.360	  5.017	 20.238	 18.29	 69.03
Control	 93.47	 66.190	 22.82	 71.4509	 89.02	 95.79925	 63.94	 22.369	 89.930	 86.47	 20.371	 21.837	 13.71	 35.09	 80.373	 96.7640	 88.116	  2.973	 69.80	 49.20	  1.140	 22.246	 58.640	  9.3935	  4.07	 94.6	  9.937	 25.59	 66.59	 15.31	 14.25	 68.27	 56.645	 34.35	 69.55	 31.01	 35.28	 52.43	 54.15	 47.231	 11.33	 90.40	 96.437	 64.13	 12.915	 77.06	 17.81	 38.40	 29.16	 61.61	 18.83	 53.60	 62.46	 95.19	 48.05	 37.80	 96.31	 55.07	 94.37	 41.99	 10.058	 17.22	 64.90	 67.384	 64.074	 12.7847	  8.41	 46.43	 43.28	 20.23	 61.522	 60.67	 20.90	 43.924	 39.209	 28.329	  0.16	 13.69	  1.556	 45.33	 24.21	 31.6319	 60.83	  7.2913	 27.71	 55.369	 25.30	 21.14	 53.84	 21.036	 19.657	 29.941	 64.78	 42.08	 93.142	  0.191	 75.600	 70.957	 22.79	 53.58
Case	 21.21	 38.755	  1.53	 99.6613	 72.07	 82.86251	 29.52	 40.792	  2.083	 61.54	 68.037	 78.784	 54.69	 41.96	 79.335	 81.2099	 60.748	 13.129	 95.87	  3.03	 60.786	 36.035	 27.474	 55.2254	 45.09	 68.4	 95.431	 22.63	 61.83	 58.56	 56.66	 89.08	  4.273	 88.54	 84.19	 30.50	 84.59	 28.16	 82.75	 30.235	 82.68	 13.87	 87.446	 39.65	 31.987	 19.22	 55.68	 25.88	 84.42	 19.39	 42.72	 57.37	 24.03	  4.88	 81.43	 33.69	 53.72	 60.62	 69.55	 43.32	 62.298	  4.01	 54.11	 78.561	 75.107	 29.4367	 90.77	 74.67	 16.89	  7.89	 28.749	 41.86	 17.77	 36.310	  5.825	 60.404	 87.64	 30.20	  7.949	 23.77	 36.52	 25.1863	 91.68	 24.1645	  8.00	 44.722	  3.36	 73.77	 38.23	 88.676	 15.140	 32.747	 64.52	 48.11	  0.957	 50.554	  3.562	 37.245	  8.05	 71.08
Control	 65.17	 83.689	 12.90	 50.6271	 21.13	 11.92788	 99.67	 61.488	 31.957	 77.51	 36.379	  9.785	 67.79	 61.77	 35.756	 54.4562	 73.995	 81.896	 81.15	 44.02	 77.560	 53.266	 14.766	 72.5170	  9.26	 49.2	 51.389	 93.58	 97.29	  3.44	 36.84	 46.01	 48.832	 76.40	 67.20	 32.97	 51.54	 12.17	 47.62	 11.030	 27.85	 98.89	 16.680	 37.31	 58.550	 98.61	 51.58	 99.16	 48.12	 71.05	 95.83	 18.45	 46.01	 68.37	 19.95	 67.29	 99.14	 26.06	 32.85	 49.47	  7.462	 85.69	 44.28	  6.081	 89.070	 16.1435	 68.99	 20.90	 63.75	 78.80	 70.825	 15.13	 81.74	 73.135	 86.833	 59.269	 40.41	 34.05	 35.400	 11.42	 85.48	 36.6488	 16.80	 35.3826	  2.35	 22.027	 50.04	 84.05	 16.81	 46.720	 19.670	 41.934	  9.72	 89.45	 93.738	 26.703	 12.964	 65.466	 82.16	 53.83
Control	 12.56	 15.050	  9.34	 48.9943	 22.57	 24.03410	 90.60	 21.497	 11.293	 35.56	 35.035	 70.983	 52.81	 69.03	  5.800	 43.0627	 80.313	 89.668	 85.94	  7.73	 92.397	 79.647	 80.141	 13.7925	 15.42	 44.6	 41.247	 19.68	 98.23	 32.99	 47.93	 13.88	 35.122	 22.32	 37.31	 81.61	 85.47	  1.55	 33.18	 57.176	 71.31	 94.67	  1.005	 48.71	 66.215	 17.93	 13.34	 48.68	 79.57	 84.29	  4.69	 16.06	 21.37	 69.36	 40.48	 18.81	  7.22	 18.78	 80.72	 53.68	  7.444	 27.47	 48.53	 28.929	 75.687	 50.6661	 11.23	 65.17	 32.34	 76.52	 21.966	 83.73	 12.76	  9.235	 42.108	 86.719	 47.84	 45.51	 55.281	 49.18	 14.36	 49.6098	 52.10	 94.8010	 85.64	 51.692	 24.51	 91.54	 59.95	 26.048	 25.901	 11.819	 19.39	  6.17	 59.936	  5.473	 76.883	 99.257	 59.11	 74.90
Case	 26.72	 34.727	 23.69	 64.9161	 14.00	 74.31885	 98.87	 66.327	 52.832	 40.58	  6.199	 21.782	  8.68	 74.99	 56.575	 22.7822	 90.240	  9.587	 72.23	 26.50	 29.171	 77.127	 38.641	 22.2966	 29.19	 28.1	 94.183	 52.15	 62.17	 25.21	 56.80	 58.06	 96.966	 42.86	 22.11	 67.67	 92.29	 49.48	 75.92	 79.074	 85.45	  8.24	 36.200	 23.27	 89.107	  2.71	 68.93	 81.66	 12.90	 30.90	 96.01	 57.25	 83.87	 41.23	  1.90	 48.33	 17.05	  8.57	 52.97	 91.38	 68.673	 62.57	 63.34	 21.324	 66.393	 37.7715	 82.59	 20.58	 14.57	 56.49	 19.307	 49.08	 90.66	 30.239	 10.345	 12.159	 44.41	 50.61	 29.337	  7.58	 46.45	 48.4884	 83.01	 69.4699	 39.12	 17.862	 42.13	 91.83	 37.61	 80.708	 45.468	 99.238	 96.07	 61.86	 92.705	 73.297	 34.376	 30.410	 77.34	 42.01
